ComplianceId,SubPolicyId,PolicyId,FrameworkId,Date,Time,User,Complied,Comments,Count,AuditFindingsId
1702,1199,1153,2,2025-08-23,12:02:52,3,0,"Access control policies and procedures not formalized access reviews, MFA, and logging to be implemented as part of remediation plan with owners and SLAs defined.",6,609
1703,1199,1153,2,2025-08-23,12:02:52,3,1,"Training and awareness processes are absent remediation plan defined to establish policies, track participation, and reinforce through ongoing campaigns.",5,610
1704,1167,1163,2,2023-02-01,16:30:35,1,2,"Complete adherence to Post-Incident Review and Plan Update standards confirmed.",4,437
1704,1168,1163,2,2023-02-02,09:10:21,1,1,"Outstanding compliance with Encryption Protocol Implementation requirements.",3,438
1705,1169,1163,2,2023-02-03,12:54:57,1,1,"Does not meet the requirements for Role-Based Access Control Implementation. Remediation needed.",4,439
1705,1170,1163,2,2023-02-04,17:38:44,1,1,"Good progress on Secure Coding Standards Development, additional work required for full compliance.",5,440
1706,1200,1154,2,2025-08-23,12:04:05,2,2,"MFA implementation is complete across the organization",3,617
1707,1200,1154,2,2025-08-23,12:04:05,2,2,"Access review processes formalized",4,618
1708,1200,1154,2,2025-08-23,12:04:05,2,0,"Logging and monitoring processes are not formalized remediation plan with owners and deadlines defined for full implementation.",2,619
1709,1200,1154,2,2025-08-23,12:04:05,2,0,"Access reviews are not formalized remediation plan with owners and deadlines for implementation defined.",4,620
1710,1172,1163,2,2023-02-13,09:36:04,1,1,"Good progress on Intrusion Detection System Implementation, additional work required for full compliance.",4,449
1711,1172,1163,2,2023-02-15,15:21:31,1,2,"Outstanding compliance with Monthly Vulnerability Scans requirements.",5,451
1711,1173,1163,2,2023-02-16,17:52:29,1,2,"All requirements for Incident Reporting Procedure Establishment successfully implemented.",4,452
1712,1173,1163,2,2023-02-17,14:50:13,1,2,"Full compliance verified for Incident Severity Level Definition. All requirements met.",1,453
1713,1173,1163,2,2023-02-19,14:14:18,1,1,"Adequate implementation of Employee Incident Reporting Training with room for enhancement.",2,455
1714,1174,1163,2,2023-02-21,17:49:15,1,2,"Full compliance verified for Incident Response Team Roles and Responsibilities. All requirements met.",5,457
1715,1174,1163,2,2023-02-23,11:48:07,1,2,"Complete adherence to Regular Incident Response Plan Exercises standards confirmed.",4,459
1716,1174,1163,2,2023-02-25,08:18:55,1,1,"Most requirements met for Quarterly Tabletop Exercises, but some gaps remain.",3,461
1716,1175,1163,2,2023-02-26,10:45:12,1,2,"Outstanding compliance with Critical Business Functions Identification requirements.",5,462
1717,1175,1163,2,2023-02-27,17:50:50,1,0,"Non-compliance identified in Disruption Impact Analysis. Immediate action required.",3,463
1718,1175,1163,2,2023-03-01,08:17:39,1,1,"Most requirements met for BIA Scope and Objectives Definition, but some gaps remain.",4,465
1719,1176,1163,2,2023-03-03,11:19:37,1,1,"Substantially compliant with Establish BCP Team Roles and Responsibilities, minor issues to address.",2,467
1719,1177,1163,2,2023-03-04,16:13:27,1,0,"Non-compliance identified in Identify Key Response and Recovery Strategies. Immediate action required.",4,468
1720,1178,1163,2,2023-03-05,14:42:19,1,0,"Critical gaps found in Develop BCP Procedures and Documentation implementation.",4,469
1721,1178,1163,2,2023-03-07,08:14:21,1,2,"Excellent implementation of Review and Update BCP Regularly controls.",3,471
1771,1217,1163,2,2025-08-08,12:34:30,1,0,"Partial compliance achieved for Legal and Regulatory Requirements Register Review. Minor improvements needed.",3,472
1776,1281,1199,334,2025-09-03,22:54:43,3,1,,1,652
1777,1281,1199,334,2025-09-03,22:54:43,3,2,,0,653
999999,1,1,1,2025-09-03,22:54:43,1,1,"Test record",1,999999
